experiment,chunk_size,overlap,top_k,case_id,gold_label,pred_label,pred_score,correct,recall_at_k,mrr,latency_sec,cost_usd
chunk_size,150,25,5,rag_comp_01,compliant,compliant,100,True,,,2.156,0.00022244999999999999
chunk_size,150,25,5,rag_part_02,partial,partial,50,True,,,2.017,0.00024389999999999997
chunk_size,150,25,5,rag_part_03,partial,compliant,100,False,,,1.918,0.00021
chunk_size,150,25,5,rag_non-_04,non-compliant,compliant,100,False,,,2.452,0.00022739999999999997
chunk_size,150,25,5,rag_comp_05,compliant,non-compliant,0,False,,,1.972,0.00021344999999999998
chunk_size,150,25,5,rag_non-_06,non-compliant,non-compliant,0,True,,,1.273,0.00021705000000000002
chunk_size,150,25,5,rag_comp_07,compliant,compliant,100,True,,,2.246,0.00023115
chunk_size,150,25,5,rag_part_08,partial,partial,50,True,,,2.456,0.00026189999999999997
chunk_size,150,25,5,rag_comp_09,compliant,compliant,100,True,,,1.75,0.00023174999999999997
chunk_size,150,25,5,rag_non-_10,non-compliant,compliant,100,False,,,1.82,0.00022155000000000002
chunk_size,150,25,5,rag_non-_11,non-compliant,compliant,100,False,,,3.131,0.000222
chunk_size,150,25,5,rag_part_12,partial,partial,50,True,,,4.882,0.00023310000000000003
chunk_size,150,25,5,rag_comp_13,compliant,compliant,100,True,,,1.615,0.00022784999999999998
chunk_size,150,25,5,rag_non-_14,non-compliant,partial,50,False,,,3.073,0.00021554999999999998
chunk_size,150,25,5,rag_part_15,partial,compliant,100,False,,,2.001,0.0002178
chunk_size,150,25,5,rag_comp_16,compliant,compliant,100,True,,,2.249,0.00021554999999999998
chunk_size,150,25,5,rag_part_17,partial,compliant,100,False,,,2.619,0.00021585
chunk_size,150,25,5,rag_non-_18,non-compliant,non-compliant,0,True,,,1.88,0.00023339999999999998
chunk_size,150,25,5,rag_comp_19,compliant,compliant,100,True,,,1.794,0.000219
chunk_size,150,25,5,rag_non-_20,non-compliant,compliant,100,False,,,2.194,0.0002385
chunk_size,150,25,5,rag_comp_21,compliant,compliant,100,True,,,1.842,0.0002319
chunk_size,150,25,5,rag_part_22,partial,compliant,100,False,,,2.068,0.00021884999999999995
chunk_size,150,25,5,rag_part_23,partial,partial,50,True,,,1.873,0.0002181
chunk_size,150,25,5,rag_non-_24,non-compliant,compliant,100,False,,,2.566,0.0002055
chunk_size,150,25,5,rag_comp_25,compliant,compliant,100,True,,,2.465,0.0002265
chunk_size,150,25,5,rag_part_26,partial,compliant,100,False,,,1.383,0.00021344999999999998
chunk_size,150,25,5,rag_part_27,partial,non-compliant,0,False,,,1.534,0.00020730000000000002
chunk_size,150,25,5,rag_non-_28,non-compliant,non-compliant,0,True,,,2.91,0.00021824999999999997
chunk_size,150,25,5,rag_comp_29,compliant,partial,80,False,,,1.746,0.00023609999999999997
chunk_size,150,25,5,rag_non-_30,non-compliant,partial,50,False,,,1.997,0.00023745
chunk_size,150,25,5,rag_comp_31,compliant,compliant,100,True,,,1.324,0.00021539999999999998
chunk_size,150,25,5,rag_comp_32,compliant,compliant,100,True,,,1.396,0.000219
chunk_size,150,25,5,rag_part_33,partial,partial,50,True,,,2.834,0.000249
chunk_size,150,25,5,rag_non-_34,non-compliant,compliant,100,False,,,1.522,0.0002124
