experiment,chunk_size,top_k,case_id,gold_label,pred_label,pred_score,correct,recall_at_k,mrr,latency_sec,cost_usd
topk,350,1,rag_comp_01,compliant,compliant,100,True,,,2.09,0.0001917
topk,350,1,rag_part_02,partial,partial,50,True,,,2.323,0.00024075
topk,350,1,rag_part_03,partial,compliant,100,False,,,3.126,0.0002355
topk,350,1,rag_non-_04,non-compliant,compliant,100,False,,,1.794,0.00019739999999999997
topk,350,1,rag_comp_05,compliant,non-compliant,0,False,,,1.978,0.00021375
topk,350,1,rag_non-_06,non-compliant,non-compliant,0,True,,,2.176,0.0002253
topk,350,1,rag_comp_07,compliant,compliant,100,True,,,1.813,0.00021825
topk,350,1,rag_part_08,partial,partial,50,True,,,2.581,0.00023205
topk,350,1,rag_comp_09,compliant,compliant,100,True,,,2.18,0.00022679999999999998
topk,350,1,rag_non-_10,non-compliant,compliant,100,False,,,1.926,0.00020414999999999997
topk,350,1,rag_non-_11,non-compliant,compliant,100,False,,,3.108,0.00020219999999999998
topk,350,1,rag_part_12,partial,partial,50,True,,,2.192,0.00021585
topk,350,1,rag_comp_13,compliant,compliant,100,True,,,1.478,0.00022590000000000002
topk,350,1,rag_non-_14,non-compliant,partial,50,False,,,2.459,0.00022725
topk,350,1,rag_part_15,partial,compliant,100,False,,,2.077,0.0002214
topk,350,1,rag_comp_16,compliant,compliant,100,True,,,1.419,0.00021809999999999996
topk,350,1,rag_part_17,partial,compliant,100,False,,,2.038,0.000204
topk,350,1,rag_non-_18,non-compliant,compliant,100,False,,,1.775,0.00021059999999999997
topk,350,1,rag_comp_19,compliant,compliant,100,True,,,2.094,0.00021764999999999998
topk,350,1,rag_non-_20,non-compliant,compliant,100,False,,,1.773,0.00020339999999999998
topk,350,1,rag_comp_21,compliant,compliant,100,True,,,2.234,0.00023534999999999997
topk,350,1,rag_part_22,partial,compliant,100,False,,,1.532,0.00020084999999999998
topk,350,1,rag_part_23,partial,partial,50,True,,,2.092,0.00020459999999999999
topk,350,1,rag_non-_24,non-compliant,partial,50,False,,,2.845,0.00023459999999999998
topk,350,1,rag_comp_25,compliant,compliant,100,True,,,1.352,8.519999999999998e-05
topk,350,1,rag_part_26,partial,compliant,100,False,,,1.783,0.0001827
topk,350,1,rag_part_27,partial,non-compliant,0,False,,,1.848,0.00019635
topk,350,1,rag_non-_28,non-compliant,non-compliant,0,True,,,1.546,0.00020085
topk,350,1,rag_comp_29,compliant,partial,70,False,,,2.743,0.00020894999999999998
topk,350,1,rag_non-_30,non-compliant,partial,50,False,,,2.11,0.000216
topk,350,1,rag_comp_31,compliant,compliant,100,True,,,2.755,0.00020114999999999998
topk,350,1,rag_comp_32,compliant,compliant,100,True,,,1.911,0.00020234999999999999
topk,350,1,rag_part_33,partial,non-compliant,0,False,,,2.367,0.00022739999999999997
topk,350,1,rag_non-_34,non-compliant,compliant,100,False,,,1.776,0.0002094
topk,350,1,rag_part_35,partial,compliant,100,False,,,2.328,0.00022140000000000001
topk,350,1,rag_non-_36,non-compliant,non-compliant,0,True,,,1.795,0.00020939999999999997
topk,350,1,rag_comp_37,compliant,partial,50,False,,,2.417,0.00023339999999999998
topk,350,1,rag_part_38,partial,compliant,100,False,,,2.202,0.00021255
topk,350,1,rag_non-_39,non-compliant,partial,50,False,,,2.851,0.0002478
topk,350,1,rag_part_40,partial,partial,50,True,,,1.724,0.000198
topk,350,3,rag_comp_01,compliant,compliant,100,True,,,1.65,0.00020234999999999999
topk,350,3,rag_part_02,partial,partial,50,True,,,2.548,0.00024119999999999998
topk,350,3,rag_part_03,partial,compliant,100,False,,,2.087,0.0002325
topk,350,3,rag_non-_04,non-compliant,compliant,100,False,,,3.141,0.00020714999999999997
topk,350,3,rag_comp_05,compliant,non-compliant,0,False,,,1.469,0.0002196
topk,350,3,rag_non-_06,non-compliant,non-compliant,0,True,,,3.635,0.00022725
topk,350,3,rag_comp_07,compliant,compliant,100,True,,,1.372,0.00022155
topk,350,3,rag_part_08,partial,partial,50,True,,,2.306,0.000252
topk,350,3,rag_comp_09,compliant,compliant,100,True,,,1.975,0.00023415
topk,350,3,rag_non-_10,non-compliant,compliant,100,False,,,1.922,0.00022590000000000002
topk,350,3,rag_non-_11,non-compliant,compliant,100,False,,,1.838,0.0002169
topk,350,3,rag_part_12,partial,partial,50,True,,,2.254,0.0002343
topk,350,3,rag_comp_13,compliant,compliant,100,True,,,2.078,0.00022845
topk,350,3,rag_non-_14,non-compliant,partial,50,False,,,2.685,0.00021405
topk,350,3,rag_part_15,partial,compliant,100,False,,,2.905,0.0002295
topk,350,3,rag_comp_16,compliant,compliant,100,True,,,1.517,0.00021705
topk,350,3,rag_part_17,partial,compliant,100,False,,,1.963,0.0001992
topk,350,3,rag_non-_18,non-compliant,compliant,100,False,,,2.208,0.00022155
topk,350,3,rag_comp_19,compliant,compliant,100,True,,,2.648,0.0002355
topk,350,3,rag_non-_20,non-compliant,compliant,100,False,,,1.566,0.00021255000000000002
topk,350,3,rag_comp_21,compliant,compliant,100,True,,,1.893,0.00023534999999999997
topk,350,3,rag_part_22,partial,compliant,100,False,,,2.512,0.0002163
topk,350,3,rag_part_23,partial,partial,50,True,,,1.962,0.00021675
topk,350,3,rag_non-_24,non-compliant,partial,50,False,,,2.856,0.00024089999999999997
topk,350,3,rag_comp_25,compliant,compliant,100,True,,,1.871,0.00020954999999999997
topk,350,3,rag_part_26,partial,compliant,100,False,,,1.904,0.00019934999999999997
topk,350,3,rag_part_27,partial,non-compliant,0,False,,,1.912,0.00021435
topk,350,3,rag_non-_28,non-compliant,non-compliant,0,True,,,2.084,0.00022319999999999998
topk,350,3,rag_comp_29,compliant,partial,70,False,,,2.147,0.00021614999999999997
topk,350,3,rag_non-_30,non-compliant,compliant,100,False,,,1.785,0.0002103
